CC(C)I.CNCc1ccccc1.O=CC1CCC1|8>>CC(C)C(C1CCC1)N(C)Cc1ccccc1
C=CCCC(=O)Nc1ccc(C(F)(F)F)cc1.O=S(=O)(c1ccccc1)N(F)S(=O)(=O)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|1>>O=C1CCC(CS(=O)(=O)F)N1c1ccc(C(F)(F)F)cc1
C=CCCC.C[Si](C)(C)N=[N+]=[N-].F[B-](F)(F)F.N#[N+]c1cccc(Cl)c1|0>>CCCC(CN=[N+]=[N-])/N=N/c1cccc(Cl)c1
C=Cc1ccccc1.CCCCO.FB(F)F.[F-].c1ccc([I+]c2ccccc2)cc1|30>>CCCCOC(Cc1ccccc1)c1ccccc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)c1ccc(F)cc1F|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)c1ccc(F)cc1F
O=C(O)C1CCOCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2.[N-]=[N+]=N[Na]|23>>[N-]=[N+]=NS(=O)(=O)C1CCOCC1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.Clc1ccc2ccccc2c1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc3ccccc3c2)C(CS(=O)(=O)c2ccccc2)C1
CC(C)O.Cc1ccccc1[N+]#N.F[B-](F)(F)F.[C-]#[O+]|0>>Cc1ccccc1C(=O)OC(C)C
C=CC=C.CC(C)=CCOc1ccc(C)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3ccc(C)cc32)cc1
C=C(C)c1ccccc1.CO.FC(F)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]|0>>COC(C)(CC(F)F)c1ccccc1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.CC(=O)c1ccc(Br)cc1.O=S(O[Na])c1ccc(Cl)cc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(C)=O)cc2)C(CS(=O)(=O)c2ccc(Cl)cc2)C1
CC(Cc1ccc(C(F)(F)F)cc1)=NNS(=O)(=O)c1ccc(C)cc1.O=S(O[Na])C(F)(F)F|0>>CC(Cc1ccc(C(F)(F)F)cc1)=C(F)F
IC1CCCCC1.NC1CCCCC1.[C-]#[O+]|53>>O=C(NC1CCCCC1)C1CCCCC1
C#CCCC(C)C.CO.Nc1ccccc1C(=O)O.O=O|3>>COC(=O)c1ccccc1NC(=O)CCCC(C)C
CC(=O)O[C@H]1CC2C[C@@H](OC(C)=O)[C@H]3[C@@H]4CC[C@H]([C@H](C)CCC(=O)O)[C@@]4(C)CC[C@@H]3C2[C@H](C)C1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2.[N-]=[N+]=N[Na]|23>>CC(=O)O[C@H]1CC2C[C@@H](OC(C)=O)[C@H]3[C@@H]4CC[C@H]([C@H](C)CCS(=O)(=O)N=[N+]=[N-])[C@@]4(C)CC[C@@H]3C2[C@H](C)C1
Brc1ccc2oc3ccccc3c2c1.C1CCCCC1.C=CC(=O)OC|13>>COC(=O)C(CC1CCCCC1)c1ccc2oc3ccccc3c2c1
CC(C)c1cccc(C(C)C)c1N.Cc1ccc(I)cc1.[C-]#[O+]|20>>Cc1ccc(C(=O)Nc2c(C(C)C)cccc2C(C)C)cc1
C=Cc1cc2ccccc2o1.CO.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>COC(CN=[N+]=[N-])c1cc2ccccc2o1
C#Cc1ccc(S(C)(=O)=O)cc1.O=O.Oc1ccccc1|3>>CS(=O)(=O)c1ccc(C(=O)c2ccc(O)cc2)cc1
C=C(C)c1ccc(C)cc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>Cc1ccc(C(C)(O)CN=[N+]=[N-])cc1
COC(=O)c1ccc(C=O)cc1.F[B-](F)(F)COCCOCc1ccccc1.Nc1ccccc1.[K+]|0>>COC(=O)c1ccc(C(COCCOCc2ccccc2)Nc2ccccc2)cc1
C#Cc1ccccc1.Cc1ccc(S(=O)(=O)[Na])cc1.O=C(O)c1ccccc1|15>>Cc1ccc(S(=O)(=O)/C=C(\OC(=O)c2ccccc2)c2ccccc2)cc1
Cc1ccc(S)cc1.F[B-](F)(F)F.N#[N+]c1ccc([N+](=O)[O-])cc1.O=S(O[Na])OS(=O)O[Na]|0>>Cc1ccc(SS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
Cc1ccc(C(=O)CCCC(=O)O)s1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2.[N-]=[N+]=N[Na]|23>>Cc1ccc(C(=O)CCCS(=O)(=O)N=[N+]=[N-])s1
C=CCCC.C[Si](C)(C)N=[N+]=[N-].Cc1cccc([N+]#N)c1.F[B-](F)(F)F|0>>CCCC(CN=[N+]=[N-])/N=N/c1cccc(C)c1
C#Cc1ccc(OC)cc1.Nc1ccccn1.O=O.Sc1ccccc1|0>>COc1ccc(C(=O)C(Nc2ccccn2)Sc2ccccc2)cc1
C=C(C)c1ccccc1.COc1cc(C#N)ccn1.Cc1ccc(S(=O)O[Na])cc1|0>>COc1cc(C(C)(CS(=O)(=O)c2ccc(C)cc2)c2ccccc2)ccn1
C[Si](C)(C)OC(=C(F)F)c1ccc(Cl)cc1.F[B-](F)(F)F.N#[N+]c1ccccc1.O=S(O[Na])OS(=O)O[Na]|0>>O=C(c1ccc(Cl)cc1)C(F)(F)S(=O)(=O)c1ccccc1
C/C=C\c1cccnc1.CS(C)=O.O=C1O[IH2](C(F)(F)F)c2ccccc21|0>>CC(C(=O)c1cccnc1)C(F)(F)F
COc1cccc(C=O)c1O.FB(F)C1CCCCC1.Nc1ccccc1.[F-].[K+]|0>>COc1cccc(C(Nc2ccccc2)C2CCCCC2)c1O
C=Cc1ccccc1O.CS(C)=CC(=O)c1ccc(F)cc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F|26>>O=C(c1ccc(F)cc1)[C@@H]1Oc2ccccc2C1CC(F)(F)F
C1CCNCC1.CC(C)(C)C(=O)Oc1ccc(Br)cc1.[C-]#[O+]|4>>CC(C)(C)C(=O)Oc1ccc(C(=O)N2CCCCC2)cc1
C=CCOc1ccc(Br)cc1C(=C)c1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>N#CCCCS(=O)(=O)CC1C=C(c2ccccc2)c2cc(Br)ccc2OC1
CC(C)I.FC(F)(F)C1CCCN1.O=CCCc1ccccc1|8>>CC(C)C(CCc1ccccc1)N1CCCC1C(F)(F)F
CC(C)(C)OO.CCOC(=O)C#CC(=O)OCC.Nc1ccccc1F|0>>CCOC(=O)C(=O)Nc1ccccc1F
C=C(CNCc1ccccc1)c1ccc(F)cc1.CCOC(=O)C(F)(F)Br.O=C=O|0>>CCOC(=O)C(F)(F)CC1(c2ccc(F)cc2)CN(Cc2ccccc2)C(=O)O1
C=COCC.CCOC(=O)CC(=O)c1ccc(C(=O)OCC)cc1.c1ccc2cnccc2c1|0>>CCOC(=O)c1ccc(C(=O)C(CC(OCC)c2nccc3ccccc23)C(=O)OCC)cc1
C=C/C=C/c1ccccc1.CC(=O)Oc1ccccc1C(=O)O.CC(C)(C)OC(=O)ON=C1CCC1|9>>CC(=O)Oc1ccccc1C(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=C(O[Si](C)(C)C)c1ccccc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I.N=C(N)c1ccccc1|0>>FC(F)(F)C(F)(F)C(F)(F)c1cc(-c2ccccc2)nc(-c2ccccc2)n1
C=CC(=O)OC(C)(C)C.CC(C)(C)[B-](F)(F)F.COc1ncc(Br)cn1.[K+]|28>>COc1ncc([C@@H](CC(C)(C)C)C(=O)OC(C)(C)C)cn1
C=Cc1ccc(N)cc1.N#Cc1ccncc1|16>>C=C(c1ccncc1)c1ccc(N)cc1
C=Cc1ccc(F)cc1.Cc1ccc(S(=O)(=O)N[n+]2ccccc2)cc1.F.F[B-](F)(F)F|0>>Cc1ccc(S(=O)(=O)NCC(F)c2ccc(F)cc2)cc1
C(=C1CC1)c1ccccc1OCc1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|2>>N#CCCCS(=O)(=O)C1=Cc2c(cccc2OCc2ccccc2)CC1
Brc1ccc2[nH]ccc2c1.C/C=C/c1ccc(OC)cc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>COc1ccc(C(c2c[nH]c3ccc(Br)cc23)C(C)C(F)(F)F)cc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.Cc1cc([N+](=O)[O-])ccc1C(=O)O|9>>Cc1cc([N+](=O)[O-])ccc1C(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C#Cc1ccccc1.CC(C)(C)[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|51>>CC(C)(C)S(=O)(=O)/C=C/c1ccccc1
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.Cc1ccc(N)cc1.O=Cc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1ccc(C)cc1)c1ccc(F)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
C=Cc1ccc2ccccc2c1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>Cc1ccc(S(=O)(=O)CC(c2ccncc2)c2ccc3ccccc3c2)cc1
O=C(O)C1CCCCC1.O=C(ONc1ccc(OC(F)(F)F)cc1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|23>>O=S(=O)(Nc1ccc(OC(F)(F)F)cc1)C1CCCCC1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2ccccc2C)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3ccccc3C)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=CC=C.CC(C)=CCOc1c(F)cc(F)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3c(F)cc(F)cc32)cc1
C#Cc1ccc(C(C)=O)cc1.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>CC(=O)c1ccc(-c2cc3ccccc3oc2=O)cc1
COC(=O)c1ccc(C=O)cc1.COc1ccc(N)cc1.F[B-](F)(F)C1CCCCC1.[K+]|0>>COC(=O)c1ccc(C(Nc2ccc(OC)cc2)C2CCCCC2)cc1
C1CCCCC1.C=CC(=O)OC.Clc1ccc(Br)cc1|13>>COC(=O)C(CC1CCCCC1)c1ccc(Cl)cc1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.COC(=O)c1ccc(Br)cc1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(=O)OC)cc2)C(CS(=O)(=O)c2ccccc2)C1
C#Cc1ccc(Br)cc1.Cc1ccc(C(=O)O)cc1.Cc1ccc(S(=O)O[Na])cc1|15>>Cc1ccc(C(=O)O/C(=C\S(=O)(=O)c2ccc(C)cc2)c2ccc(Br)cc2)cc1
C=Cc1ccc(Br)cc1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>Cc1ccc(S(=O)(=O)CC(c2ccncc2)c2ccc(Br)cc2)cc1
O=C(O)C1CCC(F)(F)CC1.O=C(ON1CCOCC1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>O=S(=O)(C1CCC(F)(F)CC1)N1CCOCC1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(CS(=O)(=O)c2ccccc2)C1
C#Cc1ccccc1.C=CCNc1ccccc1.CO|3>>C=CCN(CC#Cc1ccccc1)c1ccccc1
C=CCCc1ccccc1.O=C1CCC(=O)N1Cl.OC1CCCNC1|24>>OC1CCCN(CC(Cl)CCc2ccccc2)C1
COc1ccccc1NOC(=O)c1ccccc1.O=C(O)C1CCCCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|23>>COc1ccccc1NS(=O)(=O)C1CCCCC1
C=CC=C.CC(C)=CCOc1ccc(-c2ccccc2)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3ccc(-c4ccccc4)cc32)cc1
C=Cc1ccc(-c2ccccc2)cc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>[N-]=[N+]=NCC(O)c1ccc(-c2ccccc2)cc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)c1ccccc1|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)c1ccccc1
C#Cc1ccccc1.Cc1ccc(S(=O)(=O)N/N=C/c2cc3ccccc3cc2O)cc1.O=O|3>>O=c1oc2cc3ccccc3cc2cc1-c1ccccc1
Cc1ccc(C(=O)CCCC(=O)O)s1.O=C(ON(Cc1ccccc1)Cc1ccccc1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>Cc1ccc(C(=O)CCCS(=O)(=O)N(Cc2ccccc2)Cc2ccccc2)s1
COc1ccc(OC)c(C=C2CC2)c1.Cc1ccc(S(=O)(=O)Cl)cc1.O|0>>COc1ccc(OC)c(C(O)C2(S(=O)(=O)c3ccc(C)cc3)CC2)c1
C#Cc1ccc(OC)c(OC)c1.CCOC(=O)C(Br)C(=O)OCC.COc1ccc(C#N)cc1.O|0>>CCOC(=O)C1(C(=O)OCC)C=C(c2ccc(OC)c(OC)c2)C(Nc2ccc(OC)cc2)O1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.CC(=O)c1ccc(Br)cc1.O=S(O[Na])C1CC1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(C)=O)cc2)C(CS(=O)(=O)C2CC2)C1
C#Cc1ccccc1C(F)(F)F.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>O=c1oc2ccccc2cc1-c1ccccc1C(F)(F)F
F[B-](F)(F)F.Fc1ccc(S)cc1.N#[N+]c1ccccc1.O=S(O[Na])OS(=O)O[Na]|0>>O=S(=O)(Sc1ccc(F)cc1)c1ccccc1
CC(C)I.CCOC(=O)C(=O)CCc1ccccc1.NC1CCC(F)(F)CC1|17>>CCOC(=O)[C@@](CCc1ccccc1)(NC1CCC(F)(F)CC1)C(C)C
C#Cc1ccc(CCC)cc1.Nc1ccccn1.O=O.Sc1ccccc1|0>>CCCc1ccc(C(=O)C(Nc2ccccn2)Sc2ccccc2)cc1
C=CCOc1ccccc1C(=C)c1ccccc1.CC(C)(C)c1ccc(C2CC(=NOC(=O)c3ccc(C(F)(F)F)cc3)C2)cc1.O=S(O[K])OS(=O)O[K]|0>>CC(C)(C)c1ccc(C(CC#N)CS(=O)(=O)CC2C=C(c3ccccc3)c3ccccc3OC2)cc1
Nc1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.[C-]#[O+]|0>>N#CCCCC(=O)Nc1ccccc1
C=Cc1ccc(OC)cc1.CCOC(=O)C(F)(F)Br.COc1ccc2[nH]ccc2c1|0>>CCOC(=O)C(F)(F)CC(c1ccc(OC)cc1)c1c[nH]c2ccc(OC)cc12
C1CCNCC1.Cc1ccccc1Br.[C-]#[O+]|4>>Cc1ccccc1C(=O)N1CCCCC1
C=C(C)c1ccccc1.CC[N+](CC)=C(C)/N=S(/c1ccccc1)C(F)(F)Br.CO.O=S(=O)([O-])C(F)(F)F|0>>COC(C)(CC(F)(F)Br)c1ccccc1
F[B-](F)(F)C1CCCC1.Fc1ccc(C#CBr)cc1.O=S(O[Na])OS(=O)O[Na].[K+]|50>>O=S(=O)(C#Cc1ccc(F)cc1)C1CCCC1
C=CC/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1ccc(C(C)(C)C)cc1.C=Cc1ccccn1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|0>>Cc1ccc(S(=O)(=O)N2N=C(c3ccc(C(C)(C)C)cc3)CC2CS(=O)(=O)CCc2ccccn2)cc1
CC(C)I.CCCC=O.c1ccc(CNCCCn2ccnc2)cc1|8>>CCCC(C(C)C)N(CCCn1ccnc1)Cc1ccccc1
C=C(c1ccc(OC)cc1)c1ccc(OC)cc1.CS(=O)(=O)N1CCC([n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)CC1.F[B-](F)(F)F|0>>COc1ccc(C(=CC2CCN(S(C)(=O)=O)CC2)c2ccc(OC)cc2)cc1
C/C=C\c1ccccc1.CCOC(=O)C(F)(F)Br.CS(C)=O|1>>CCOC(=O)C(F)(F)C(C)C(=O)c1ccccc1
C/C=C/c1ccccc1.CO.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>COC(c1ccccc1)C(C)N=[N+]=[N-]
C=Cc1cc(OC)c(OC)c(OC)c1.Cc1ccc(S)cc1.O=C=O|27>>COc1cc(C(CC(=O)O)Sc2ccc(C)cc2)cc(OC)c1OC
C=Cc1ccc(C(C)(C)C)cc1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>Cc1ccc(S(=O)(=O)CC(c2ccncc2)c2ccc(C(C)(C)C)cc2)cc1
C=C(C)c1ccc(F)cc1.CC#N.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>CC(=O)N(C(=O)c1ccccc1I)C(C)(CN=[N+]=[N-])c1ccc(F)cc1
CC(C)I.CNCc1ccccc1.O=CC1CCN(C(=O)OCc2ccccc2)CC1|8>>CC(C)C(C1CCN(C(=O)OCc2ccccc2)CC1)N(C)Cc1ccccc1
NN1CCOCC1.O=S(=O)(O[IH2](c1ccccc1)c1ccccc1)C(F)(F)F.O=S(O[K])OS(=O)O[K]|2>>O=S(=O)(NN1CCOCC1)c1ccccc1
C=C(c1ccc(Cl)cc1)c1ccccn1.CCCC=O.c1ccc(CNCc2ccccc2)cc1|0>>CCCC(CC(c1ccc(Cl)cc1)c1ccccn1)N(Cc1ccccc1)Cc1ccccc1
C=Cc1ccccc1C(=O)O.CC#N.COC(=O)c1sccc1[N+]#N.F[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>COC(=O)c1sccc1S(=O)(=O)CC1c2ccccc2C(=O)N1C(C)=O
C=COCC.CCOC(=O)CC(=O)c1ccc2c(c1)OCO2.c1ccc2cnccc2c1|0>>CCOC(=O)C(CC(OCC)c1nccc2ccccc12)C(=O)c1ccc2c(c1)OCO2
C=CCCCCCCCC.CCOC(=O)C(F)(F)Br.Cc1ccc(C#CS(=O)(=O)C(F)(F)F)cc1|0>>CCCCCCCC[C@H](C#Cc1ccc(C)cc1)CC(F)(F)C(=O)OCC
C=Cc1ccc(OC)cc1.FB(F)F.[F-].[N-]=[N+]=N[Na].c1ccc(-c2cc(-c3ccccc3)[n+](C3CCOCC3)c(-c3ccccc3)c2)cc1|25>>COc1ccc(C(CN=[N+]=[N-])C2(c3ccccc3)C=C(c3ccccc3)N(C3CCOCC3)C(c3ccccc3)=C2)cc1
Cc1ccc(C(=O)/C=C/c2ccccc2)cc1.F[B-](F)(F)C1CCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>Cc1ccc(C(=O)CC(c2ccccc2)S(=O)(=O)C2CCCC2)cc1
C=Cc1ccc(Br)cc1.CS(C)=O.O=C(ON1C(=O)c2ccccc2C1=O)C1CCOCC1|0>>O=C(CC1CCOCC1)c1ccc(Br)cc1
C#Cc1ccc(F)cc1.CC1(OC(=O)C(=O)O[Cs])CCCCC1.O=Cc1ccc(Br)cc1|7>>CC1(/C=C(/c2ccc(F)cc2)c2ccc(C=O)cc2)CCCCC1
C[Si](C)(C)OC(=C(F)F)c1ccccc1.Cc1ccccc1[N+]#N.F[B-](F)(F)F.O=S(O[Na])OS(=O)O[Na]|0>>Cc1ccccc1S(=O)(=O)C(F)(F)C(=O)c1ccccc1
C1CCNCC1.CC(C)I.O=CCCc1ccccc1|8>>CC(C)C(CCc1ccccc1)N1CCCCC1
CCC(C)I.COc1ccc(N)cc1.Cc1cccc(C=O)c1|10>>CCC(C)C(Nc1ccc(OC)cc1)c1cccc(C)c1
C=CCCc1ccccc1.CNC.O=C1CCC(=O)N1Cl|24>>CN(C)CC(Cl)CCc1ccccc1
C/C=C\c1ccc(Cl)cc1.CCOC(=O)C(F)(F)Br.CS(C)=O|1>>CCOC(=O)C(F)(F)C(C)C(=O)c1ccc(Cl)cc1
C=Cc1cccc(Br)c1.CCOC(=O)C(C)Br.CS(C)=O|1>>CCOC(=O)C(C)CC(=O)c1cccc(Br)c1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2cccc(C)c2)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3cccc(C)c3)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=C(C)c1ccc(C(F)(F)F)cc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>CC(O)(CN=[N+]=[N-])c1ccc(C(F)(F)F)cc1
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.Nc1cccc2[nH]nnc12.O=Cc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1cccc2[nH]nnc12)c1ccc(F)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
C=CCOc1ccccc1C(=C)c1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>N#CCCCS(=O)(=O)CC1C=C(c2ccccc2)c2ccccc2OC1
C=C/C=C/c1ccccc1.CC(C)(C)CC(=O)O.CC(C)(C)OC(=O)ON=C1CCC1|9>>CC(C)(C)CC(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.COc1ccc(C=O)cc1.Nc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1ccc(F)cc1)c1ccc(OC)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
C/C=C\c1cccc(I)c1.CS(C)=O.O=C1O[IH2](C(F)(F)F)c2ccccc21|0>>CC(C(=O)c1cccc(I)c1)C(F)(F)F
