CC(C)I.CNCc1ccccc1.O=CC1CCC1|8>>CC(C)C(C1CCC1)N(C)Cc1ccccc1
C=Cc1ccc2ccccc2c1.CC#N.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>CC(=O)N(C(=O)c1ccccc1I)C(CN=[N+]=[N-])c1ccc2ccccc2c1
C=C(CCC)c1ccccc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>CCCC(O)(CN=[N+]=[N-])c1ccccc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)c1ccc(Cl)cc1F|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)c1ccc(Cl)cc1F
CC(C)(C)OO.CCOC(=O)C#CC(=O)OCC.Cc1cccc(Br)c1N|0>>CCOC(=O)C(=O)Nc1c(C)cccc1Br
C=C(C)c1ccccc1.Cn1ccc2ccccc21.O=Cc1ccccc1|37>>Cn1cc(C(C)(CC(=O)c2ccccc2)c2ccccc2)c2ccccc21
C#Cc1ccccc1.C=Cc1ccc(OC)cc1.COc1ccc(C(=O)ON=C2CCC2)cc1|6>>COc1ccc(C(C#Cc2ccccc2)CCCCC#N)cc1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2cc(C)cc(C)c2)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3cc(C)cc(C)c3)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=CCCC(=O)Nc1ccc(C(F)(F)F)cc1.O=S(=O)(c1ccccc1)N(F)S(=O)(=O)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|1>>O=C1CCC(CS(=O)(=O)F)N1c1ccc(C(F)(F)F)cc1
C=CCCC.C[Si](C)(C)N=[N+]=[N-].F[B-](F)(F)F.N#[N+]c1cccc(Cl)c1|0>>CCCC(CN=[N+]=[N-])/N=N/c1cccc(Cl)c1
C=Cc1ccccc1.CCCCO.FB(F)F.[F-].c1ccc([I+]c2ccccc2)cc1|30>>CCCCOC(Cc1ccccc1)c1ccccc1
C=C(CC)c1ccc(Br)cc1.CCN(CC)CC.F.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1|0>>CCC(F)(CCCCC#N)c1ccc(Br)cc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)c1ccc(F)cc1F|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)c1ccc(F)cc1F
C=Cc1cccc([N+](=O)[O-])c1.O=O.S=C=S|52>>O=[N+]([O-])c1cccc(C2CSC(=S)O2)c1
C=CNC(C)=O.CCOC(=O)c1cccnc1C.COC(=O)CBr|34>>CCOC(=O)c1ccc([C@H](CCC(=O)OC)NC(C)=O)nc1C
O=C(O)C1CCOCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2.[N-]=[N+]=N[Na]|23>>[N-]=[N+]=NS(=O)(=O)C1CCOCC1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.Clc1ccc2ccccc2c1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc3ccccc3c2)C(CS(=O)(=O)c2ccccc2)C1
CC(C)O.Cc1ccccc1[N+]#N.F[B-](F)(F)F.[C-]#[O+]|0>>Cc1ccccc1C(=O)OC(C)C
C=CCOc1ccccc1C(=C)c1cccc(C)c1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>Cc1cccc(C2=CC(CS(=O)(=O)CCCC#N)COc3ccccc32)c1
C=CC=C.CC(C)=CCOc1ccc(C)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3ccc(C)cc32)cc1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2ccc(C)cc2)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3ccc(C)cc3)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=Cc1ccc(C(C)(C)C)cc1.CC(C)(C)C(=O)ON1C(=O)c2ccccc2C1=O|0>>CC(C)(C)CC(=O)c1ccc(C(C)(C)C)cc1
C=C(C)c1ccccc1.CO.FC(F)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]|0>>COC(C)(CC(F)F)c1ccccc1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.CC(=O)c1ccc(Br)cc1.O=S(O[Na])c1ccc(Cl)cc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(C)=O)cc2)C(CS(=O)(=O)c2ccc(Cl)cc2)C1
CC(Cc1ccc(C(F)(F)F)cc1)=NNS(=O)(=O)c1ccc(C)cc1.O=S(O[Na])C(F)(F)F|0>>CC(Cc1ccc(C(F)(F)F)cc1)=C(F)F
IC1CCCCC1.NC1CCCCC1.[C-]#[O+]|53>>O=C(NC1CCCCC1)C1CCCCC1
C#Cc1ccccc1.CCCCCCS.N#Cc1ccnc(N)c1.O=O|0>>CCCCCCSC(Nc1cc(C#N)ccn1)C(=O)c1ccccc1
C#CCCC(C)C.CO.Nc1ccccc1C(=O)O.O=O|3>>COC(=O)c1ccccc1NC(=O)CCCC(C)C
CC(=O)O[C@H]1CC2C[C@@H](OC(C)=O)[C@H]3[C@@H]4CC[C@H]([C@H](C)CCC(=O)O)[C@@]4(C)CC[C@@H]3C2[C@H](C)C1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2.[N-]=[N+]=N[Na]|23>>CC(=O)O[C@H]1CC2C[C@@H](OC(C)=O)[C@H]3[C@@H]4CC[C@H]([C@H](C)CCS(=O)(=O)N=[N+]=[N-])[C@@]4(C)CC[C@@H]3C2[C@H](C)C1
Brc1ccc2oc3ccccc3c2c1.C1CCCCC1.C=CC(=O)OC|13>>COC(=O)C(CC1CCCCC1)c1ccc2oc3ccccc3c2c1
C#Cc1ccc(OC)cc1.F[B-](F)(F)F.N#[N+]c1ccc([N+](=O)[O-])cc1.O=O.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>COc1ccc(C(=O)CS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
C#Cc1ccccc1.Cc1ccc(S(=O)(=O)O[IH2](N=S(C)(=O)c2ccc(Br)cc2)c2ccccc2)cc1.O=O|0>>CS(=O)(=NC(=O)C(=O)c1ccccc1)c1ccc(Br)cc1
CC(C)c1cccc(C(C)C)c1N.Cc1ccc(I)cc1.[C-]#[O+]|20>>Cc1ccc(C(=O)Nc2c(C(C)C)cccc2C(C)C)cc1
C=C(C)c1ccccc1.Cn1ccc2ccccc21.O=CC1CCCC1|37>>Cn1cc(C(C)(CC(=O)C2CCCC2)c2ccccc2)c2ccccc21
C=Cc1cc2ccccc2o1.CO.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>COC(CN=[N+]=[N-])c1cc2ccccc2o1
C#Cc1ccc(S(C)(=O)=O)cc1.O=O.Oc1ccccc1|3>>CS(=O)(=O)c1ccc(C(=O)c2ccc(O)cc2)cc1
C=C(C)c1ccc(C)cc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>Cc1ccc(C(C)(O)CN=[N+]=[N-])cc1
C#CC1CC1.Nc1ccc([N+](=O)[O-])cc1.O=O.Sc1ccccc1|0>>O=C(C1CC1)C(Nc1ccc([N+](=O)[O-])cc1)Sc1ccccc1
C#Cc1ccc(C)cc1.Cc1ccc(C(=O)O)cc1.O=S(O[Na])c1ccccc1|15>>Cc1ccc(C(=O)O/C(=C\S(=O)(=O)c2ccccc2)c2ccc(C)cc2)cc1
COC(=O)c1ccc(C=O)cc1.F[B-](F)(F)COCCOCc1ccccc1.Nc1ccccc1.[K+]|0>>COC(=O)c1ccc(C(COCCOCc2ccccc2)Nc2ccccc2)cc1
C#Cc1ccccc1.Cc1ccc(S(=O)(=O)[Na])cc1.O=C(O)c1ccccc1|15>>Cc1ccc(S(=O)(=O)/C=C(\OC(=O)c2ccccc2)c2ccccc2)cc1
Cc1ccc(S)cc1.F[B-](F)(F)F.N#[N+]c1ccc([N+](=O)[O-])cc1.O=S(O[Na])OS(=O)O[Na]|0>>Cc1ccc(SS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
C/C=C/c1ccc(OC)cc1.CC[N+](CC)=C(C)/N=S(/c1ccccc1)C(F)(F)Br.CO.O=S(=O)([O-])C(F)(F)F|0>>COc1ccc(C(OC)C(C)C(F)(F)Br)cc1
C=C(CC)c1ccc(Cl)cc1.CCN(CC)CC.F.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1|0>>CCC(F)(CCCCC#N)c1ccc(Cl)cc1
Cc1ccc(C(=O)CCCC(=O)O)s1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2.[N-]=[N+]=N[Na]|23>>Cc1ccc(C(=O)CCCS(=O)(=O)N=[N+]=[N-])s1
C#Cc1ccccc1.COC(=O)c1ccc([N+]#N)cc1.F[B-](F)(F)F.O=O.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>COC(=O)c1ccc(S(=O)(=O)CC(=O)c2ccccc2)cc1
C#Cc1ccc(Cl)cc1.CO.Nc1ccccc1C(=O)O.O=O|3>>COC(=O)c1ccccc1NC(=O)Cc1ccc(Cl)cc1
C=CCCC.C[Si](C)(C)N=[N+]=[N-].Cc1cccc([N+]#N)c1.F[B-](F)(F)F|0>>CCCC(CN=[N+]=[N-])/N=N/c1cccc(C)c1
C=C(CS(=O)(=O)c1ccccc1)C(=O)OCC.CC(C)(C)OC(N)=O.COc1ccc(C=O)cc1|10>>C=C(C[C@H](NC(=O)OC(C)(C)C)c1ccc(OC)cc1)C(=O)OCC
C#Cc1ccc(OC)cc1.Nc1ccccn1.O=O.Sc1ccccc1|0>>COc1ccc(C(=O)C(Nc2ccccn2)Sc2ccccc2)cc1
C=C(C)c1ccccc1.COc1cc(C#N)ccn1.Cc1ccc(S(=O)O[Na])cc1|0>>COc1cc(C(C)(CS(=O)(=O)c2ccc(C)cc2)c2ccccc2)ccn1
C[Si](C)(C)OC(=C(F)F)c1ccc(Cl)cc1.F[B-](F)(F)F.N#[N+]c1ccccc1.O=S(O[Na])OS(=O)O[Na]|0>>O=C(c1ccc(Cl)cc1)C(F)(F)S(=O)(=O)c1ccccc1
C=C(c1ccccc1)c1ccccc1.CC(C)OP(=O)(OC(C)C)C(F)(F)Br.N#Cc1ccc(N)cc1|19>>CC(C)OP(=O)(OC(C)C)C(F)(F)CC(Nc1ccc(C#N)cc1)(c1ccccc1)c1ccccc1
CCC/C=C/c1ccccc1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>CCCC(C(c1ccccc1)c1ccncc1)S(=O)(=O)c1ccc(C)cc1
Clc1ccc(C(=C2CC2)c2ccc(Cl)cc2)cc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|2>>N#CCCCS(=O)(=O)C1=C(c2ccc(Cl)cc2)c2ccc(Cl)cc2CC1
C/C=C\c1cccnc1.CS(C)=O.O=C1O[IH2](C(F)(F)F)c2ccccc21|0>>CC(C(=O)c1cccnc1)C(F)(F)F
CCOC(=O)CCCCC=O.FC(F)(F)I.c1ccc(CNCc2ccccc2)cc1|4>>CCOC(=O)CCCC(CN(Cc1ccccc1)Cc1ccccc1)C(F)(F)F
COc1cccc(C=O)c1O.FB(F)C1CCCCC1.Nc1ccccc1.[F-].[K+]|0>>COc1cccc(C(Nc2ccccc2)C2CCCCC2)c1O
C=Cc1cccc(C)c1.CO[n+]1ccc(C#N)cc1|0>>COCC(O)c1cccc(C)c1
C=Cc1ccccc1O.CS(C)=CC(=O)c1ccc(F)cc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F|26>>O=C(c1ccc(F)cc1)[C@@H]1Oc2ccccc2C1CC(F)(F)F
C1CCNCC1.CC(C)(C)C(=O)Oc1ccc(Br)cc1.[C-]#[O+]|4>>CC(C)(C)C(=O)Oc1ccc(C(=O)N2CCCCC2)cc1
C=C(C1CCCCC1)C1CCCCC1.Cc1ccc(S(=O)(=O)N=S(=O)(c2ccccc2)C(F)F)cc1.O|0>>OC(CC(F)F)(C1CCCCC1)C1CCCCC1
C=CCOc1ccc(Br)cc1C(=C)c1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>N#CCCCS(=O)(=O)CC1C=C(c2ccccc2)c2cc(Br)ccc2OC1
CC(C)I.FC(F)(F)C1CCCN1.O=CCCc1ccccc1|8>>CC(C)C(CCc1ccccc1)N1CCCC1C(F)(F)F
CC(C)(C)OO.CCOC(=O)C#CC(=O)OCC.Nc1ccccc1F|0>>CCOC(=O)C(=O)Nc1ccccc1F
C=C(CNCc1ccccc1)c1ccc(F)cc1.CCOC(=O)C(F)(F)Br.O=C=O|0>>CCOC(=O)C(F)(F)CC1(c2ccc(F)cc2)CN(Cc2ccccc2)C(=O)O1
C=COCC.CCOC(=O)CC(=O)c1ccc(C(=O)OCC)cc1.c1ccc2cnccc2c1|0>>CCOC(=O)c1ccc(C(=O)C(CC(OCC)c2nccc3ccccc23)C(=O)OCC)cc1
C#Cc1cccc(Cl)c1.CC1(OC(=O)C(=O)O[Cs])CCCCC1.O=Cc1ccc(Br)cc1|7>>CC1(/C=C(\c2ccc(C=O)cc2)c2cccc(Cl)c2)CCCCC1
C=CCCCB(F)F.COC(=O)c1ccc(C=O)cc1.Nc1ccccc1.[F-].[K+]|0>>C=CCCCC(Nc1ccccc1)c1ccc(C(=O)OC)cc1
C=CCCN1C(=O)c2ccccc2C1=O.O=S(=O)(/C=C/c1ccccc1)c1ccccc1.O=S(O[Na])C(F)(F)F|2>>O=C1c2ccccc2C(=O)N1CCC(/C=C/c1ccccc1)CC(F)(F)F
C=C/C=C/c1ccccc1.CC(=O)Oc1ccccc1C(=O)O.CC(C)(C)OC(=O)ON=C1CCC1|9>>CC(=O)Oc1ccccc1C(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=C(O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(Cl)cc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I.N=C(N)c1ccc(Br)cc1|0>>FC(F)(F)C(F)(F)C(F)(F)c1cc(-c2ccc(Cl)cc2)nc(-c2ccc(Br)cc2)n1
C=C(O[Si](C)(C)C)c1ccccc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I.N=C(N)c1ccccc1|0>>FC(F)(F)C(F)(F)C(F)(F)c1cc(-c2ccccc2)nc(-c2ccccc2)n1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.CCCCCCCCCCCCCCCCCC(=O)O|9>>CCCCCCCCCCCCCCCCCC(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=C(N=[N+]=[N-])c1cccc(C)c1.CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C1CCCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>Cc1cccc(/C(N)=C/S(=O)(=O)C2CCCCC2)c1
C=CC(=O)OC(C)(C)C.CC(C)(C)[B-](F)(F)F.COc1ncc(Br)cn1.[K+]|28>>COc1ncc([C@@H](CC(C)(C)C)C(=O)OC(C)(C)C)cn1
C=Cc1ccc(N)cc1.N#Cc1ccncc1|16>>C=C(c1ccncc1)c1ccc(N)cc1
C=Cc1ccc(F)cc1.Cc1ccc(S(=O)(=O)N[n+]2ccccc2)cc1.F.F[B-](F)(F)F|0>>Cc1ccc(S(=O)(=O)NCC(F)c2ccc(F)cc2)cc1
C(=C1CC1)c1ccccc1OCc1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|2>>N#CCCCS(=O)(=O)C1=Cc2c(cccc2OCc2ccccc2)CC1
Nc1ccncc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.[C-]#[O+]|0>>N#CCCCC(=O)Nc1ccncc1
Brc1ccc2[nH]ccc2c1.C/C=C/c1ccc(OC)cc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>COc1ccc(C(c2c[nH]c3ccc(Br)cc23)C(C)C(F)(F)F)cc1
C/C=C/c1ccc(OC)cc1.COc1ccc2[nH]ccc2c1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>COc1ccc(C(c2c[nH]c3ccc(OC)cc23)C(C)C(F)(F)F)cc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.Cc1cc([N+](=O)[O-])ccc1C(=O)O|9>>Cc1cc([N+](=O)[O-])ccc1C(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=C(O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(C(C)(C)C)cc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I.N[C@H]1c2ccccc2C[C@H]1O|1>>CC(C)(C)c1ccc(C(=O)C[C@@]2(C(F)(F)C(F)(F)C(F)(F)F)N[C@H]3c4ccccc4C[C@H]3O2)cc1
C=Cc1ccc(OC)cc1.O=C(CCc1ccccc1)ON1C(=O)c2ccccc2C1=O|0>>COc1ccc(C(=O)CCCc2ccccc2)cc1
C=C(O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(C#N)cc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I.N=C(N)c1ccc(Br)cc1|0>>N#Cc1ccc(-c2cc(C(F)(F)C(F)(F)C(F)(F)F)nc(-c3ccc(Br)cc3)n2)cc1
C#Cc1ccccc1.CC(C)(C)[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|51>>CC(C)(C)S(=O)(=O)/C=C/c1ccccc1
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.Cc1ccc(N)cc1.O=Cc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1ccc(C)cc1)c1ccc(F)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
COC(=O)N(C)S(=O)(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1.Cc1ccccc1-n1ccnc1C(=O)Cc1ccc(Br)cc1|0>>COC(=O)N(C)[C@H](C(=O)c1nccn1-c1ccccc1C)c1ccc(Br)cc1
C#C[C@](O)(CCC(C)C)c1ccc(Cl)cc1.O=C(N=C1CCC1)Oc1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>CC(C)(/C=C/S(=O)(=O)CCCC#N)CCC(=O)c1ccc(Cl)cc1
C=Cc1ccc2ccccc2c1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>Cc1ccc(S(=O)(=O)CC(c2ccncc2)c2ccc3ccccc3c2)cc1
O=C(O)C1CCCCC1.O=C(ONc1ccc(OC(F)(F)F)cc1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|23>>O=S(=O)(Nc1ccc(OC(F)(F)F)cc1)C1CCCCC1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2ccccc2C)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3ccccc3C)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=CC=C.CC(C)=CCOc1c(F)cc(F)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3c(F)cc(F)cc32)cc1
C#Cc1ccc(C(C)=O)cc1.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>CC(=O)c1ccc(-c2cc3ccccc3oc2=O)cc1
COC(=O)c1ccc(C=O)cc1.COc1ccc(N)cc1.F[B-](F)(F)C1CCCCC1.[K+]|0>>COC(=O)c1ccc(C(Nc2ccc(OC)cc2)C2CCCCC2)cc1
Cc1ccc(C=C2CC2)cc1.Cc1ccc(S(=O)(=O)Cl)cc1.O|0>>Cc1ccc(C(O)C2(S(=O)(=O)c3ccc(C)cc3)CC2)cc1
C1CCCCC1.C=CC(=O)OC.Clc1ccc(Br)cc1|13>>COC(=O)C(CC1CCCCC1)c1ccc(Cl)cc1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.COC(=O)c1ccc(Br)cc1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(=O)OC)cc2)C(CS(=O)(=O)c2ccccc2)C1
C#Cc1ccc(Br)cc1.Cc1ccc(C(=O)O)cc1.Cc1ccc(S(=O)O[Na])cc1|15>>Cc1ccc(C(=O)O/C(=C\S(=O)(=O)c2ccc(C)cc2)c2ccc(Br)cc2)cc1
CC(C)=O.CCCC=O.CNCCC=C1c2ccccc2CCc2ccccc21.FC(F)(F)I|4>>CCC(CN(C)CCC=C1c2ccccc2CCc2ccccc21)C(F)(F)F
C=Cc1ccc(Br)cc1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>Cc1ccc(S(=O)(=O)CC(c2ccncc2)c2ccc(Br)cc2)cc1
Cc1ccc([N+]#N)cc1.F[B-](F)(F)F.N#Cc1c(C#Cc2ccc(Cl)cc2)cccc1-c1ccccc1.O=S(O[Na])OS(=O)O[Na]|2>>Cc1ccc(S(=O)(=O)C2=C(c3ccc(Cl)cc3)c3nc4ccccc4c4cccc2c34)cc1
O=C(O)C1CCC(F)(F)CC1.O=C(ON1CCOCC1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>O=S(=O)(C1CCC(F)(F)CC1)N1CCOCC1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(CS(=O)(=O)c2ccccc2)C1
COC(=O)CC(C)=O.N#CCC#N.O=C1Nc2c(cccc2C(F)(F)F)C1=O|0>>COC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1c(C(F)(F)F)cccc12
C=C(N=[N+]=[N-])c1ccccc1.CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C1CCCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>N/C(=C\S(=O)(=O)C1CCCCC1)c1ccccc1
C=CCCc1ccccc1.O=C1CCC(=O)N1Cl.OC1CCCNC1|24>>OC1CCCN(CC(Cl)CCc2ccccc2)C1
